Site,Epi week,WHO Variant,Clade (Pango lineage),Proportion
Wastewater,37,,Omicron 24A (BA.2.86); Omicron 24A (JN.1.18); Omicron 21J (BF.38.3),80; 10; 10
Wastewater,38,,Omicron 24A (BA.2.86); Omicron 24A (JN.1.18); Omicron 21J (BF.38.3),80; 10; 10
Wastewater,39,,Omicron 24A (BA.2.86); Omicron BA.2,50; 50
Wastewater,40,,Omicron 24A (BA.2.86); Omicron 24A (L.B.1); Omicron XFC.1.1; Omicron 20A (KS.1.3),20; 4; 60; 16
Wastewater,41,,Omicron 24A (BA.2.86); Omicron BA.2; Omicron (BA.2.3),80; 10; 10
Wastewater,42,Omicron,Omicron 25A/LP.8.1*; Omicron BA.2; Omicron 25B/PQ*,50; 50
Wastewater,43,Omicron,Omicron 25A/LP.8.1*; Omicron BA.2; Omicron 25B/PQ*,
Wastewater,44,Omicron,Omicron 25A/LP.8.1*; Omicron BA.2; Omicron 25B/PQ*,
Wastewater,45,Omicron,Omicron 24F/XEC*; Omicron BA.2; Omicron 25C/XFG*;Omicron 24A (BA.2.86),
Wastewater,46,pending,pending,
Wastewater,47,pending,pending,
Wastewater,48,pending,pending,
Wastewater,49,pending,pending,
