orgunitlevel1,orgunitlevel2,orgunitlevel3,orgunitlevel4,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,periodid,periodname,periodcode,perioddescription,MZ CE - Diagnóstico - Infecção Resp. Aguda,MZ CE - Diagnóstico - DNT Asma Bronquial,INTERNAMENTO - Pneumonia ALTAS,INTERNAMENTOS HOSPITAIS - Pneumonia ALTAS
MOÇAMBIQUE,ZAMBEZIA,CIDADE DE QUELIMANE,HG Quelimane,QfHGC9q2SDX,HG Quelimane,1040100,,202505,Maio 2025,202505,,,37,,12
MOÇAMBIQUE,ZAMBEZIA,CIDADE DE QUELIMANE,HG Quelimane,QfHGC9q2SDX,HG Quelimane,1040100,,202506,Junho 2025,202506,,,73,,3
MOÇAMBIQUE,ZAMBEZIA,CIDADE DE QUELIMANE,HG Quelimane,QfHGC9q2SDX,HG Quelimane,1040100,,202507,Julho 2025,202507,,,60,,1
MOÇAMBIQUE,ZAMBEZIA,CIDADE DE QUELIMANE,HG Quelimane,QfHGC9q2SDX,HG Quelimane,1040100,,202508,Agosto 2025,202508,,,60,,5
MOÇAMBIQUE,ZAMBEZIA,CIDADE DE QUELIMANE,HG Quelimane,QfHGC9q2SDX,HG Quelimane,1040100,,202509,Setembro 2025,202509,,,60,,1
MOÇAMBIQUE,ZAMBEZIA,CIDADE DE QUELIMANE,HG Quelimane,QfHGC9q2SDX,HG Quelimane,1040100,,202510,Outubro 2025,202510,,,38,,3
MOÇAMBIQUE,ZAMBEZIA,CIDADE DE QUELIMANE,HG Quelimane,QfHGC9q2SDX,HG Quelimane,1040100,,202511,Novembro 2025,202511,,,41,,1
MOÇAMBIQUE,ZAMBEZIA,CIDADE DE QUELIMANE,HG Quelimane,QfHGC9q2SDX,HG Quelimane,1040100,,202512,Dezembro 2025,202512,,,,,
MOÇAMBIQUE,ZAMBEZIA,CIDADE DE QUELIMANE,HG Quelimane,QfHGC9q2SDX,HG Quelimane,1040100,,202601,Janeiro 2026,202601,,,50,,7
MOÇAMBIQUE,ZAMBEZIA,CIDADE DE QUELIMANE,HG Quelimane,QfHGC9q2SDX,HG Quelimane,1040100,,202602,Fevereiro 2026,202602,,,,,
MOÇAMBIQUE,ZAMBEZIA,CIDADE DE QUELIMANE,HG Quelimane,QfHGC9q2SDX,HG Quelimane,1040100,,202603,Março 2026,202603,,,,,
MOÇAMBIQUE,TETE,CIDADE DE TETE,HP Tete,CgH5aTlqbTe,HP Tete,1050100,,202501,Janeiro 2025,202501,,3,,,39
MOÇAMBIQUE,TETE,CIDADE DE TETE,HP Tete,CgH5aTlqbTe,HP Tete,1050100,,202502,Fevereiro 2025,202502,,1,2,,27
MOÇAMBIQUE,TETE,CIDADE DE TETE,HP Tete,CgH5aTlqbTe,HP Tete,1050100,,202503,Março 2025,202503,,,1,,60
MOÇAMBIQUE,TETE,CIDADE DE TETE,HP Tete,CgH5aTlqbTe,HP Tete,1050100,,202504,Abril 2025,202504,,2,1,,83
MOÇAMBIQUE,TETE,CIDADE DE TETE,HP Tete,CgH5aTlqbTe,HP Tete,1050100,,202505,Maio 2025,202505,,1,3,,87
MOÇAMBIQUE,TETE,CIDADE DE TETE,HP Tete,CgH5aTlqbTe,HP Tete,1050100,,202506,Junho 2025,202506,,,8,,81
MOÇAMBIQUE,TETE,CIDADE DE TETE,HP Tete,CgH5aTlqbTe,HP Tete,1050100,,202507,Julho 2025,202507,,,2,,54
MOÇAMBIQUE,TETE,CIDADE DE TETE,HP Tete,CgH5aTlqbTe,HP Tete,1050100,,202508,Agosto 2025,202508,,3,3,,66
MOÇAMBIQUE,TETE,CIDADE DE TETE,HP Tete,CgH5aTlqbTe,HP Tete,1050100,,202509,Setembro 2025,202509,,23,15,,57
MOÇAMBIQUE,TETE,CIDADE DE TETE,HP Tete,CgH5aTlqbTe,HP Tete,1050100,,202510,Outubro 2025,202510,,11,4,,48
MOÇAMBIQUE,TETE,CIDADE DE TETE,HP Tete,CgH5aTlqbTe,HP Tete,1050100,,202511,Novembro 2025,202511,,1,3,,28
MOÇAMBIQUE,TETE,CIDADE DE TETE,HP Tete,CgH5aTlqbTe,HP Tete,1050100,,202512,Dezembro 2025,202512,,,3,,24
MOÇAMBIQUE,TETE,CIDADE DE TETE,HP Tete,CgH5aTlqbTe,HP Tete,1050100,,202601,Janeiro 2026,202601,,1,2,,33
MOÇAMBIQUE,TETE,CIDADE DE TETE,HP Tete,CgH5aTlqbTe,HP Tete,1050100,,202602,Fevereiro 2026,202602,,3,4,,38
MOÇAMBIQUE,TETE,CIDADE DE TETE,HP Tete,CgH5aTlqbTe,HP Tete,1050100,,202603,Março 2026,202603,,,,,
